Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.81/257,167.975830078125,81.40239715576172,257.975830078125,-282.9596862792969,564.6572265625,4424.580078125,-0.9670690298080444,-0.20598314702510834,0.14949394762516022,0.2546513080596924,0.07273700088262558,250717.040313720703,3679564.657226562500,4424.580078125000,8.293036460876
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.85/053,323.4157409667969,85.10653686523438,53.41573715209961,-281.93109130859375,561.3677368164062,4418.82470703125,0.8000543713569641,0.5938318967819214,0.08530329167842865,0.2546513080596924,0.0522112138569355,250718.068908691406,3679561.367736816406,4418.824707031250,5.061547279358
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.52/173,83.33383178710938,52.530364990234375,173.33383178710938,-269.0429382324219,576.7603759765625,4439.20361328125,0.09213320165872574,-0.7883101105690002,0.6083409190177917,0.2546513080596924,0.05742881819605827,250730.957061767578,3679576.760375976563,4439.203613281250,3.013940811157
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.58/233,143.08168029785156,58.084598541259766,233.08168029785156,-271.1099853515625,576.9601440429688,4438.35400390625,-0.6786330342292786,-0.5098714828491211,0.5286664962768555,0.2546513080596924,0.04826020076870918,250728.890014648438,3679576.960144042969,4438.354003906250,3.843945503235
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.62/102,12.065620422363281,62.1804084777832,102.06562042236328,-276.7428894042969,573.3273315429688,4434.07470703125,0.8648836016654968,-0.18487228453159332,0.46668902039527893,0.2546513080596924,0.0355774387717247,250723.257110595703,3679573.327331542969,4434.074707031250,2.166942119598
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.78/060,330.38690185546875,78.74654388427734,60.38691711425781,-280.3985290527344,573.5768432617188,4432.48291015625,0.852666974067688,0.4846397936344147,0.19514955580234528,0.2546513080596924,0.07055030018091202,250719.601470947266,3679573.576843261719,4432.482910156250,2.879083633423
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.89/062,332.9347229003906,89.66757202148438,62.934715270996094,-297.4313659667969,572.1860961914062,4417.42919921875,0.8904736638069153,0.45499780774116516,0.005801925901323557,0.2546513080596924,0.03417302668094635,250702.568634033203,3679572.186096191406,4417.429199218750,2.021238803864
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.15/309,219.72976684570312,15.853094100952148,309.7297668457031,-291.3135986328125,567.4514770507812,4421.00537109375,-0.21008755266666412,0.17460256814956665,0.9619652628898621,0.2546513080596924,0.06668861210346222,250708.686401367188,3679567.451477050781,4421.005371093750,5.499957084656
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.46/146,56.3934326171875,46.451171875,146.3934326171875,-289.39215087890625,566.3450927734375,4422.65478515625,0.4011603891849518,-0.6036449670791626,0.688972532749176,0.2546513080596924,0.028718503192067146,250710.607849121094,3679566.345092773438,4422.654785156250,1.523686528206
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.59/158,68.95329284667969,59.31804656982422,158.9532928466797,-295.47491455078125,573.5530395507812,4422.38623046875,0.30885550379753113,-0.8026398420333862,0.5102720260620117,0.2546513080596924,0.04354449734091759,250704.525085449219,3679573.553039550781,4422.386230468750,2.382907390594
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.24/324,234.15643310546875,24.547218322753906,324.15643310546875,-295.814697265625,574.3062133789062,4420.06396484375,-0.24327266216278076,0.3367658853530884,0.9096192121505737,0.2546513080596924,0.03720996901392937,250704.185302734375,3679574.306213378906,4420.063964843750,2.939515113831
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.56/243,153.0840606689453,56.714359283447266,243.0840606689453,-295.4599914550781,571.2169189453125,4418.99169921875,-0.7453883290290833,-0.37841796875,0.5488133430480957,0.2546513080596924,0.023114575073122978,250704.540008544922,3679571.216918945313,4418.991699218750,2.984483242035
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.48/142,52.22331237792969,48.53916931152344,142.2233123779297,-270.52435302734375,578.1822509765625,4439.9990234375,0.459076851606369,-0.5923357009887695,0.6621078848838806,0.2546513080596924,0.04343852028250694,250729.475646972656,3679578.182250976563,4439.999023437500,4.438715934753
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.41/144,54.600311279296875,41.528038024902344,144.60031127929688,-271.6947937011719,578.9981689453125,4440.482421875,0.3840526342391968,-0.5404207706451416,0.7486313581466675,0.2546513080596924,0.03502068668603897,250728.305206298828,3679578.998168945313,4440.482421875000,2.767601251602
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.44/101,11.133064270019531,44.16064453125,101.13306427001953,-270.49749755859375,573.4930419921875,4434.09521484375,0.6835620403289795,-0.13451926410198212,0.7173893451690674,0.2546513080596924,0.03150821104645729,250729.502502441406,3679573.493041992188,4434.095214843750,3.747117042542
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.61/163,73.54969787597656,61.03392028808594,163.54969787597656,-263.124267578125,576.2819213867188,4439.34375,0.24775922298431396,-0.8390928506851196,0.48429176211357117,0.2546513080596924,0.03799864277243614,250736.875732421875,3679576.281921386719,4439.343750000000,2.092568874359
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.04/272,182.94378662109375,4.731185436248779,272.94378662109375,-272.1663818359375,576.5848999023438,4438.10986328125,-0.08237204700708389,0.004235888831317425,0.99659264087677,0.2546513080596924,0.028981056064367294,250727.833618164063,3679576.584899902344,4438.109863281250,1.637777566910
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.48/193,103.64802551269531,48.90597915649414,193.6480255126953,-259.6723937988281,577.335693359375,4441.17822265625,-0.17782463133335114,-0.732352077960968,0.6572965979576111,0.2546513080596924,0.05658770725131035,250740.327606201172,3679577.335693359375,4441.178222656250,3.715575218201
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.48/040,310.642333984375,48.86055374145508,40.64232635498047,-273.3635559082031,571.5916137695312,4431.279296875,0.49052730202674866,0.5714530944824219,0.6578938961029053,0.2546513080596924,0.04986971244215965,250726.636444091797,3679571.591613769531,4431.279296875000,2.750827789307
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.48/197,107.38777160644531,48.80785369873047,197.3877716064453,-272.9756164550781,573.499267578125,4435.58740234375,-0.22487646341323853,-0.7181187868118286,0.658586323261261,0.2546513080596924,0.024511003866791725,250727.024383544922,3679573.499267578125,4435.587402343750,2.067142486572
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.47/148,58.78346252441406,47.909263610839844,148.78346252441406,-275.2367248535156,572.9838256835938,4434.48583984375,0.38460278511047363,-0.6346413493156433,0.6703066825866699,0.2546513080596924,0.016837840899825096,250724.763275146484,3679572.983825683594,4434.485839843750,2.145679950714
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.61/159,69.76022338867188,61.992916107177734,159.76022338867188,-245.3538818359375,584.0610961914062,4453.435546875,0.3054353892803192,-0.8283738493919373,0.4695807099342346,0.2546513080596924,0.04431639611721039,250754.646118164063,3679584.061096191406,4453.435546875000,2.558936834335
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.28/210,120.0458984375,28.05120849609375,210.0458984375,-224.09555053710938,590.517822265625,4470.59130859375,-0.23545639216899872,-0.40706902742385864,0.8825276494026184,0.2546513080596924,0.14202168583869934,250775.904449462891,3679590.517822265625,4470.591308593750,17.897966384888
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.11/152,62.34587097167969,11.333691596984863,152.3458709716797,-221.8436279296875,585.3230590820312,4470.0595703125,0.09121263027191162,-0.17407293617725372,0.980499267578125,0.2546513080596924,0.10348203778266907,250778.156372070313,3679585.323059082031,4470.059570312500,6.362836837769
measurements_C.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).measurements.33/148,58.207672119140625,33.7464714050293,148.20767211914062,-242.9196014404297,588.33544921875,4458.3525390625,0.29267072677612305,-0.47217079997062683,0.8315038084983826,0.2546513080596924,0.06514199823141098,250757.080398559570,3679588.335449218750,4458.352539062500,4.864728450775
