Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.19/021,291.7751159667969,19.133995056152344,21.775108337402344,-858.8734741210938,858.4071044921875,4497.06640625,0.12159419059753418,0.3043906092643738,0.9447546005249023,0.3481100797653198,0.19803054630756378,250141.126525878906,3679858.407104492188,4497.066406250000,16.539134979248
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.12/017,287.1247253417969,12.331327438354492,17.124717712402344,-797.79150390625,899.8790283203125,4517.693359375,0.06288464367389679,0.20409639179706573,0.9769289493560791,0.3481100797653198,0.2252792865037918,250202.208496093750,3679899.879028320313,4517.693359375000,42.977127075195
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.35/031,301.28350830078125,35.54634475708008,31.28350067138672,-788.7911987304688,911.4509887695312,4533.20751953125,0.3018852472305298,0.49683624505996704,0.8136455416679382,0.3481100797653198,0.374184787273407,250211.208801269531,3679911.450988769531,4533.207519531250,44.535434722900
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.09/014,284.4228515625,9.513679504394531,14.422847747802734,-801.9825439453125,908.8246459960938,4530.4609375,0.041168101131916046,0.1600741446018219,0.9862461686134338,0.3481100797653198,0.5616674423217773,250198.017456054688,3679908.824645996094,4530.460937500000,60.918041229248
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.14/031,301.0486145019531,14.691815376281738,31.048625946044922,-849.57080078125,873.3634643554688,4502.453125,0.13080823421478271,0.21728354692459106,0.967303991317749,0.3481100797653198,0.9935912489891052,250150.429199218750,3679873.363464355469,4502.453125000000,71.103332519531
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.38/017,287.49432373046875,38.72829818725586,17.494321823120117,-875.5028076171875,855.89013671875,4489.59375,0.1880708485841751,0.5966907143592834,0.7801215052604675,0.3481100797653198,0.7730304598808289,250124.497192382813,3679855.890136718750,4489.593750000000,59.175731658936
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.39/015,285.9588623046875,39.999717712402344,15.958877563476562,-890.7333984375,849.007080078125,4484.73876953125,0.17673175036907196,0.6180105805397034,0.7660475969314575,0.3481100797653198,0.6037041544914246,250109.266601562500,3679849.007080078125,4484.738769531250,94.974739074707
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.24/006,276.82470703125,24.208415985107422,6.8246989250183105,-851.24365234375,887.6754760742188,4520.3134765625,0.04872789606451988,0.4071514904499054,0.9120599031448364,0.3481100797653198,0.398059606552124,250148.756347656250,3679887.675476074219,4520.313476562500,49.006278991699
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.22/028,298.563720703125,22.97794532775879,28.563716888427734,-793.3978881835938,887.360595703125,4515.5712890625,0.18665310740470886,0.34286245703697205,0.9206551909446716,0.3481100797653198,0.7057607173919678,250206.602111816406,3679887.360595703125,4515.571289062500,87.418350219727
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.12/035,305.1246337890625,12.811144828796387,35.12462615966797,-800.8357543945312,895.2826538085938,4503.17431640625,0.12757863104343414,0.18136027455329895,0.9751062393188477,0.3481100797653198,0.3103824555873871,250199.164245605469,3679895.282653808594,4503.174316406250,25.833045959473
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.40/006,276.78070068359375,40.358306884765625,6.7807183265686035,-834.322021484375,883.8765869140625,4515.12109375,0.07645794004201889,0.6430360674858093,0.7620097398757935,0.3481100797653198,0.23390954732894897,250165.677978515625,3679883.876586914063,4515.121093750000,23.914722442627
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.30/009,279.7030944824219,30.687530517578125,9.703096389770508,-841.550537109375,883.3228759765625,4512.17431640625,0.0860167145729065,0.5030547976493835,0.8599633574485779,0.3481100797653198,0.5175386071205139,250158.449462890625,3679883.322875976563,4512.174316406250,42.000740051270
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.41/011,281.6584167480469,41.69729995727539,11.658416748046875,-847.4315185546875,861.8707275390625,4488.91259765625,0.13442035019397736,0.6514720320701599,0.7466695308685303,0.3481100797653198,0.12131621688604355,250152.568481445313,3679861.870727539063,4488.912597656250,18.276729583740
measurements_B.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).B.A.28/014,284.49072265625,28.683380126953125,14.49072551727295,-810.2586669921875,867.1193237304688,4481.240234375,0.12009943276643753,0.4647003412246704,0.8772854208946228,0.3481100797653198,0.25174692273139954,250189.741333007813,3679867.119323730469,4481.240234375000,33.426055908203
