Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.18/050,320.59320068359375,18.5194034576416,50.59319305419922,-1185.6654052734375,721.0673828125,4431.2412109375,0.24541622400283813,0.20163600146770477,0.9482161402702332,0.33831435441970825,0.6041410565376282,249814.334594726563,3679721.067382812500,4431.241210937500,96.184959411621
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.37/018,288.6926574707031,37.89738464355469,18.69265365600586,-1214.000732421875,702.211181640625,4434.37255859375,0.19686166942119598,0.5818483829498291,0.7891121506690979,0.33831435441970825,0.555287778377533,249785.999267578125,3679702.211181640625,4434.372558593750,84.939086914063
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.18/357,267.15765380859375,18.96175193786621,357.15765380859375,-1254.6463623046875,697.6614379882812,4430.88134765625,-0.01611287146806717,0.3245371878147125,0.9457356929779053,0.33831435441970825,0.1507423371076584,249745.353637695313,3679697.661437988281,4430.881347656250,23.206005096436
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.14/055,325.108154296875,14.100186347961426,55.1081657409668,-1323.0823974609375,682.4014892578125,4403.9248046875,0.19982381165027618,0.13935668766498566,0.9698712229728699,0.33831435441970825,0.14347007870674133,249676.917602539063,3679682.401489257813,4403.924804687500,13.701071739197
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.29/031,301.64996337890625,29.935325622558594,31.649974822998047,-1325.1934814453125,681.6183471679688,4401.7763671875,0.26185116171836853,0.42480233311653137,0.8665892481803894,0.33831435441970825,0.168684184551239,249674.806518554688,3679681.618347167969,4401.776367187500,16.384988784790
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.27/024,294.823974609375,27.778480529785156,24.8239688873291,-1280.4066162109375,666.7568969726562,4398.673828125,0.1956644505262375,0.4229918420314789,0.8847560882568359,0.33831435441970825,0.11046367883682251,249719.593383789063,3679666.756896972656,4398.673828125000,6.297254085541
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.24/015,285.86944580078125,24.842317581176758,15.869461059570312,-1285.6544189453125,664.2086791992188,4393.708984375,0.11488102376461029,0.4041103422641754,0.9074674248695374,0.33831435441970825,0.11831001192331314,249714.345581054688,3679664.208679199219,4393.708984375000,12.825481414795
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.12/000,270.642578125,12.549448013305664,0.6425957083702087,-1281.1798095703125,663.3861694335938,4391.6171875,0.0024368565063923597,0.21726839244365692,0.9761088490486145,0.33831435441970825,0.1879931539297104,249718.820190429688,3679663.386169433594,4391.617187500000,17.154983520508
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.27/007,277.39300537109375,27.255813598632812,7.393010139465332,-1286.208740234375,663.6832885742188,4387.6435546875,0.058928363025188446,0.4541570544242859,0.888970673084259,0.33831435441970825,0.24255456030368805,249713.791259765625,3679663.683288574219,4387.643554687500,32.800868988037
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.06/310,220.8277587890625,6.49787712097168,310.8277587890625,-1261.32373046875,673.2335205078125,4402.3154296875,-0.08563060313463211,0.07398675382137299,0.9935760498046875,0.33831435441970825,0.1406952440738678,249738.676269531250,3679673.233520507813,4402.315429687500,14.326288223267
measurements_A.bin (/Users/thiele67/Documents/data/LADAKH/Puga_DigitalOutcrop/Closeups).A.measurements.A.20/358,268.7084655761719,20.040491104125977,358.7084655761719,-1253.3875732421875,666.9443969726562,4394.50927734375,-0.007723917718976736,0.34259700775146484,0.9394506812095642,0.33831435441970825,0.489645391702652,249746.612426757813,3679666.944396972656,4394.509277343750,24.803218841553
